Actor1,Actor2,Actor3,Actor4
CHREST, JOE	HARRELSON, WOODY	DUMONT, JAMES (I)	GOODING JR., CUBA
FREEMAN, MORGAN (I)	HALL, PHILIP BAKER	DE NIRO, ROBERT	GOLDBERG, WHOOPI
HARVEY, ROBERT (I)	HAYEK, SALMA	DIAZ, CAMERON	HONG, JAMES (I)
BANKS, BOYD	ELDRIDGE, CRAIG	BIRMAN, MATT	CECERE, FULVIO
JACKSON, SAMUEL L.	DAVID, KEITH (I)	BUSCEMI, STEVE	COONEY, KEVIN (I)
GLEESON, BRENDAN	HARDY, TOM (I)	ATKINS, LASCO	BLANCHETT, CATE
HARRELSON, WOODY	JACKSON, SAMUEL L.	JOHANSSON, SCARLETT	DAMON, MATT
GRIFFIS, RHODA	BUCARO III, JOE	ARNOLD, TOM (I)	BALDWIN, ALEC
GUZM·N, LUIS (I)	AYKROYD, DAN	JACKSON, SAMUEL L.	CAGE, NICOLAS
ABERNATHY, DON	HOWARD, RANCE	JACKSON, SAMUEL L.	BLACK, JACK (I)
HARRELSON, WOODY	ALFONSO, KENNY (I)	DAVIS, JASON (VIII)	FLEISCHMANN, JOHN
ARNOLD, TOM (I)	HOWARD, CLINT	CHEUNG, GEORGE	FREEMAN, MORGAN (I)
BASILE, JOSEPH	FREEMAN, MORGAN (I)	GUZM·N, LUIS (I)	BOSTON, DAVID (IV)
GOODMAN, JOHN (I)	ABERNATHY, DON	BOSTON, DAVID (IV)	HARRELSON, WOODY
BELL, GEOFF (I)	HOSKINS, BOB (I)	HUSTON, DANNY	JONES, TOBY (I)
HA, BENITA (I)	FOO, COLIN	JOHNSTON, ANDREW (II)	FLEMMING, PETER (I)
JAMES, BRION (I)	ARNOLD, TOM (I)	BALDWIN, STEPHEN (I)	JACKSON, SAMUEL L.
DAVID, KEITH (I)	BALDWIN, ALEC	GARRETT, SPENCER (I)	GARSON, WILLIE
HARVEY, ROBERT (I)	BUSCEMI, STEVE	HAYEK, SALMA	DIAZ, CAMERON
JACKSON, SAMUEL L.	ELLIS, CHRIS (I)	GOODMAN, JOHN (I)	FRANCO, JAMES
