Actor
ABELL, ALISTAIR
ABRAHAMS, DOUG
ACHESON, MARK
ADACHI, LEANNE
ADAMS, BROOKE (I)
ADAMS, ENID-RAYE
ADAMS, MASON (I)
ADAMS, STEVE (I)
ADAMTHWAITE, MICHAEL
AGUILERA, CHRISTINA
AIDEM, BETSY
AIRLIE, ANDREW
ALCANTAR, TONY
ALDREDGE, TOM
ALEXANDER, JANE (I)
ALI, MUHAMMAD (I)
ALICE, MARY (I)
ALLAN, PATTI
ALLEN, JOAN (I)
ALLEN, WOODY
ALTER, KIRSTEN
ALVARADO, TRINI
AMEYAW, KWESI
AMOS, JOHN (I)
ANDREI, DAMIR
ANDREWS, JULIE (I)
ANTHONY, PAUL (VI)
ARANHA, RAY
ARESCO, JOEY
ARKIN, ALAN
ARKOS, JULIA
ARMSTRONG, MICHASHA
ARNOLD, MADISON
ARQUETTE, ALEXIS
ASNER, EDWARD
AUBERJONOIS, RENE
AVERY, MARGARET
AYKROYD, DAN
AYLESWORTH, REIKO
BACALL, LAUREN
BACARELLA, MIKE
BACON, DANIEL (I)
BAIN, SUSAN
BAKER, DYLAN (I)
BAKER, RAY (I)
BALDWIN, ALEC
BALDWIN, STEPHEN (I)
BAMMAN, GERRY
BANCROFT, ANNE (I)
BANDERAS, ANTONIO
BARANSKI, CHRISTINE
BARBER, GILLIAN (I)
BARNETT, TOM (I)
BARR, ROSEANNE
BARRY, STEVE (II)
BARTY, BILLY
BASSETT, LINDA (I)
BATES, PAUL (I)
BAUCHAU, PATRICK
BAY, FRANCES
BEACH, ADAM
BEATTY, NED
BEATTY, WARREN (I)
BEISER, BRENDAN
BELAFONTE, HARRY
BELL, DEXTER
BELL, DORON
BENJAMIN, ANDRÈ
BENJAMIN, PAUL (I)
BENNETT, SONJA
BENSKIN, TYRONE
BERGEN, CANDICE
BERNHARDT, DANIEL (I)
BIGGERS, DAN
BIGWOOD, JAMES
BIRNEY, REED
BIVENS, J.B.
BLACKMAN, IAN (I)
BLACKTHORNE, MELANTHA
BLAIR, BILL (III)
BLATCH, KEVIN
BLOOM, CLAIRE (I)
BOGART, HUMPHREY
BOGDANOVICH, PETER
BOILEAU, DANIEL
BORGNINE, ERNEST
BOS, JAN (I)
BOSCO, PHILIP (I)
BOSTWICK, BARRY
BOURNE, JR
BOURNE, LINDSAY
BOWER, TOM (I)
BOWIE, DAVID (III)
BOYLE, PETER (I)
BRANAGH, KENNETH
BRANDO, MARLON
BRANTLEY, BETSY
BRAUGHER, ANDRE
BREKER, ERIC
BRENNAN, EILEEN (I)
BREUER, BEVERLEY
BRIDGES, JEFF (I)
BRODERICK, MATTHEW (I)
BROKAW, TOM (I)
BROLIN, JOSH
BROOKS SWOPE, TRACY
BROOKS, MEL (I)
BROWN, ARTINE
BROWN, BLAIR (I)
BROWN, BRYAN (I)
BROWN, JAMES (I)
BROWNE, ROSCOE LEE
BRUNO, DYLAN
BRYANT, PETER (I)
BUECHNER, GENEVIEVE
BUONO, CARA
BURROUGHS, JACKIE (I)
BURSTYN, ELLEN
BURTON, KATE (I)
BUSH, BARBARA (I)
BUSH, GEORGE (I)
BUTLER, TOM (I)
BYRNES, JIM (I)
CALABRETTA, TONY
CALDERON, WILMER
CAMACHO, MARK
CAMPBELL, BRENDA (I)
CAMPBELL, J. KENNETH
CAMPBELL, PAUL (VIII)
CAMPBELL, SEAN (I)
CAMROUX, KEN
CANNON, DYAN
CANNON, WANDA (I)
CAPSHAW, KATE
CAREY JR., HARRY
CARLIN, GEORGE
CARLSON, LESLIE
CARRADINE, KEITH
CARSON, JOHNNY (I)
CARUK, LISA MARIE
CASSIE, KYLE
CASSINI, FRANK
CASTILLO, ENRIQUE (I)
CATTRALL, KIM
CAVALIER, JASON
CAVETT, DICK
CECERE, FULVIO
CHALFANT, KATHLEEN (I)
CHALK, GARRY
CHAMBERS, LOSSEN
CHAN, JACKIE (I)
CHANNING, STOCKARD
CHAO, ROSALIND
CHAPMAN, DOUGLAS
CHATELAIN, CHRISTINE
CHAYKIN, MAURY
CHEESEMAN, KEN
CHEN, JOAN (I)
CHER (I)
CHIN, TSAI
CHIRILLO, LOUIS
CHONG, TOMMY
CHOW, YUN-FAT
CHRISTOPHER, JULIAN
CHU, SAMUEL PATRICK
CHUBAI, DAWN
CLARKSON, PATRICIA
CLEMENT, JENNIFER (I)
CLINTON, BILL (I)
CLINTON, HILLARY RODHAM
CLOONEY, GEORGE
CLOSE, GLENN
CODRINGTON, JIM
COE, GEORGE
COFFIN, FREDERICK
COLE, GARY (I)
COLLINS, JOELY
COMBS, JEFFREY
CONNICK JR., HARRY
CONROY, FRANCES
CONSTANTINE, MICHAEL
COOPER, CHRIS (I)
COPELAND, JOAN (I)
COPPOLA, FRANCIS FORD
CORBIN, BARRY
CORMAN, ROGER
COSBY, BILL
COTTON, BEN (I)
COUTURIER, SANDRA-JESSICA
COYOTE, PETER
CRAVEN, AARON
CRAVEN, MATT (I)
CRENNA, RICHARD
CRICHLOW, BRENDA
CROFT, BILL
CROMBIE, PETER (I)
CRONKITE, WALTER (I)
CROSBY, MARY (I)
CROSS, KENDALL
CRUZ, PENÈLOPE
CRYER, JON
CUDLITZ, MICHAEL
CULLUM, JOHN (I)
CULP, ROBERT
CUNNINGHAM, COLIN (I)
CURTIN, JANE
CURTIS BROWN, ROBERT
CUSACK, JOHN (I)
CUTSHALL, D. HARLAN
D., CHUCK
DAHLGREN, TOM
DAINGERFIELD, MICHAEL
DALLESANDRO, JOE
DALTON, KRISTEN (I)
DALY, TIM (I)
DANIELS, JEFF (I)
DANNER, BLYTHE
DARROW, HENRY
DARSHI, AGAM
DAVID, KEITH (I)
DAVIS, DON S. (I)
DAVIS, JUDY (I)
DAVIS, OSSIE
DAWSON, BRUCE (I)
DE BOER, NICOLE
DE LA PAZ, DANNY (I)
DE NIRO, ROBERT
DEAKINS, SARAH
DEE, RUBY (I)
DEGENERES, ELLEN
DELLAR, LOIS
DELUISE, ANNE MARIE
DEMUNN, JEFFREY
DEVEAUX, NATHANIEL
DEVRIES, JON
DIAKUN, ALEX
DIAMOND, DUSTIN
DIAZ, CARLOS (I)
DICKINSON, ANGIE
DILLER, PHYLLIS (I)
DILLON, MATT (I)
DIO, BOB
DISHY, BOB
DITSON, HARRY
DOLENZ, MICKY
DONCHEFF, LEN
DONOVAN, MARTIN (II)
DOOLEY, PAUL
DORVAL, ADRIEN
DOUGLAS, AARON (I)
DOWNEY JR., ROBERT
DRAKE, LARRY (I)
DRAKE, PATRICIA
DRESCHER, FRAN
DRIESSCHEN, MARKE
DRUMMOND, ALICE
DRUMMOND, BRIAN
DUBIN, ELLEN
DUBOIS, CASEY
DUFFIN, SHAY
DUKAKIS, OLYMPIA
DUKE, BILL (I)
DUKES, DAVID (I)
DUNN, CONRAD
DUNST, KIRSTEN
DUPOIS, STARLETTA
DURAND, KEVIN
DURNING, CHARLES
DUVALL, ROBERT
DYSON, CHRISTOPHER
EASTWOOD, CLINT
EBERSOLE, CHRISTINE
EBERT, ROGER
ECKHOUSE, JAMES
EGGAR, SAMANTHA
ELFMAN, JENNA
ELIZONDO, HECTOR (I)
ESPOSITO, GIANCARLO (I)
EVANS, ART (I)
EWEN, LESLEY
FALK, PETER (I)
FALLON, JIMMY
FANCY, RICHARD
FARINA, DENNIS
FARMER, GARY (I)
FARROW, MIA
FAULCONBRIDGE, SCOTT
FAWCETT, ALAN (I)
FERRELL, CONCHATA
FISHBURNE, LAURENCE
FISHER, CARRIE (I)
FLANERY, SEAN PATRICK
FLECK, JOHN (I)
FLEMING, CARRIE (I)
FOCH, NINA
FOLEY, DAVE (I)
FORD, HARRISON (I)
FORREST, FREDERIC
FOSTER, BEN (I)
FOX, COLIN (I)
FRANCIS, ALAN (III)
FRANZ, ELIZABETH
FREEMAN, MORGAN (I)
FREWER, MATT
FRIEND, TED
FUNK, NOLAN GERARD
GAINES, BOYD
GALE, LORENA
GALE, VINCENT (I)
GALLAGHER, PETER (I)
GALLIGAN, ZACH
GAMMON, JAMES (I)
GANEEV, RAOUL
GARBER, VICTOR
GARCIA, JSU
GARNER, JAMES (I)
GARO, ARMEN
GARRETT, SPENCER (I)
GARSON, WILLIE
GEDRICK, JASON
GENZEL, CARRIE
GERETY, PETER
GIBB, CYNTHIA
GIBSON, MEG
GIBSON, MEL (I)
GILMORE, PATRICK (II)
GIMPEL, ERICA
GLEASON, JOANNA (I)
GLOVER, DANNY (I)
